Timestamp(ms),Current(uA)
56820,5.604
56830,3.954
56840,5.543
56850,3.432
56860,5.485
56870,3.616
56880,11.623
56890,8.703
56900,4.615
56910,2.672
56920,1.865
56930,2.992
56940,4.536
56950,2.963
56960,3.482
56970,4.569
56980,5.818
56990,4.538
57000,5.542
57010,4.767
57020,3.554
57030,5.053
57040,5.581
57050,29.669
57060,1249.620
57070,2839.428
57080,2406.364
57090,1811.409
57100,1982.845
57110,2208.789
57120,2645.567
57130,2509.560
57140,3674.701
57150,4363.218
57160,5128.627
57170,4853.131
57180,4762.398
57190,6042.668
57200,7109.990
57210,8159.666
57220,8657.187
57230,9085.844
57240,9266.815
57250,9182.926
57260,9421.243
57270,9643.926
57280,9806.351
57290,9560.075
57300,9663.318
57310,9703.286
57320,9812.007
57330,10185.687
57340,10297.141
57350,10082.412
57360,10019.572
57370,10860.658
57380,10453.612
57390,10177.588
57400,9976.569
57410,9855.538
57420,10246.509
57430,10091.587
57440,10158.599
57450,10154.731
57460,10091.864
57470,9910.760
57480,9956.839
57490,10017.642
57500,10021.456
57510,9994.701
57520,9722.771
57530,9782.388
57540,9895.190
57550,10237.030
57560,9596.068
57570,9713.758
57580,9661.470
57590,9628.668
57600,9590.940
57610,9792.705
57620,10034.285
57630,9875.467
57640,9917.827
57650,10106.429
57660,9926.773
57670,9873.436
57680,9801.320
57690,9957.993
57700,10038.903
57710,10035.735
57720,9771.294
57730,9801.819
57740,9892.803
57750,9893.721
57760,9969.682
57770,9857.989
57780,9833.645
57790,9878.902
57800,9985.438
57810,9976.205
57820,9871.229
57830,10094.410
57840,9991.209
57850,9848.998
57860,10030.940
57870,9965.058
57880,9865.120
57890,9978.539
57900,10078.606
57910,10009.612
57920,10093.940
57930,9935.828
57940,9880.562
57950,10282.925
57960,10003.554
57970,9904.693
57980,9932.815
57990,9749.780
58000,10016.527
58010,10049.893
58020,9900.194
58030,9809.897
58040,9966.324
58050,9967.106
58060,10108.272
58070,10099.679
58080,10058.221
58090,10070.586
58100,10083.195
58110,9993.050
58120,9998.167
58130,10157.613
58140,10156.882
58150,10184.852
58160,10039.365
58170,9893.156
58180,9835.728
58190,9765.075
58200,9758.713
58210,9997.304
58220,9954.136
58230,9929.991
58240,10009.882
58250,9998.354
58260,10075.490
58270,10072.574
58280,9796.494
58290,10141.122
58300,9918.399
58310,9893.783
58320,9964.962
58330,9725.076
58340,9855.925
58350,9923.115
58360,9921.177
58370,9927.271
58380,10074.676
58390,9869.088
58400,9791.263
58410,9960.500
58420,9887.051
58430,9832.970
58440,9868.425
58450,9924.141
58460,9825.011
58470,9772.236
58480,9801.112
58490,10012.660
58500,9902.049
58510,10068.135
58520,9975.492
58530,9811.650
58540,9768.639
58550,10160.337
58560,10003.329
58570,10010.975
58580,10065.149
58590,10005.676
58600,9837.037
58610,10019.472
58620,10078.583
58630,9840.416
58640,9822.238
58650,10148.623
58660,10019.713
58670,10195.901
58680,9529.141
58690,9210.705
58700,9084.478
58710,9029.205
58720,9052.565
58730,8965.986
58740,8932.540
58750,9025.758
58760,9115.946
58770,9576.163
58780,10734.553
58790,10013.251
58800,9823.574
58810,10260.548
58820,11086.656
58830,10453.843
58840,10075.875
58850,10598.541
58860,10045.023
58870,46748.305
58880,74151.102
58890,84265.094
58900,87924.508
58910,89354.008
58920,89902.703
58930,90007.641
58940,90077.063
58950,90034.383
58960,90036.555
58970,90034.961
58980,90067.625
58990,90043.109
59000,90050.273
59010,90088.234
59020,90132.375
59030,90116.023
59040,90120.141
59050,84877.805
59060,36807.766
59070,19042.336
59080,12616.076
59090,10327.487
59100,9533.042
59110,9093.333
59120,8872.204
59130,8791.971
59140,8726.057
59150,8659.029
59160,8704.818
59170,8640.070
59180,8685.789
59190,8712.454
59200,8744.247
59210,8709.900
59220,8769.303
59230,8704.373
59240,8756.138
59250,8843.119
59260,8627.164
59270,8776.958
59280,8880.227
59290,8813.928
59300,8773.686
59310,8934.905
59320,8779.429
59330,8843.758
59340,8836.091
59350,8706.926
59360,8743.521
59370,8502.973
59380,8582.623
59390,8712.879
59400,8649.869
59410,8820.207
59420,8739.972
59430,8627.196
59440,8712.124
59450,8656.921
59460,8739.803
59470,8758.511
59480,8628.225
59490,8557.182
59500,8606.178
59510,8752.289
59520,8600.610
59530,8885.690
59540,8976.424
59550,8783.607
59560,8840.734
59570,8809.825
59580,9046.449
59590,9035.936
59600,8806.278
59610,8929.038
59620,9002.151
59630,9138.971
59640,8990.454
59650,8776.353
59660,8820.872
59670,8632.586
59680,8711.947
59690,8630.532
59700,8745.771
59710,8823.719
59720,8684.367
59730,8574.878
59740,8995.217
59750,8833.528
59760,8803.061
59770,8679.902
59780,8675.375
59790,9125.563
59800,9142.837
59810,9044.621
59820,8921.608
59830,8818.192
59840,8794.597
59850,8845.954
59860,8867.446
59870,9056.339
59880,9219.720
59890,8770.570
59900,9040.896
59910,8743.293
59920,8790.743
59930,8640.350
59940,8633.930
59950,8778.383
59960,8603.144
59970,8715.125
59980,8908.173
59990,8836.113
60000,8671.491
60010,8905.318
60020,8842.283
60030,8563.318
60040,8666.360
60050,8795.267
60060,8563.990
60070,8808.346
