Timestamp(ms),Current(uA)
1347830,23.725
1347840,22.387
1347850,24.711
1347860,25.588
1347870,25.546
1347880,834.719
1347890,2171.063
1347900,2910.760
1347910,2088.236
1347920,1994.542
1347930,2253.504
1347940,3220.798
1347950,2625.435
1347960,3270.003
1347970,4208.245
1347980,5195.023
1347990,6133.518
1348000,7089.371
1348010,7677.979
1348020,8105.826
1348030,8507.277
1348040,8777.482
1348050,9005.873
1348060,9198.617
1348070,9308.479
1348080,9435.114
1348090,9211.397
1348100,9376.777
1348110,9570.094
1348120,9725.885
1348130,9739.105
1348140,9738.215
1348150,9794.631
1348160,9788.958
1348170,9811.185
1348180,9813.413
1348190,9720.977
1348200,9746.763
1348210,9745.627
1348220,9810.698
1348230,9807.074
1348240,9740.552
1348250,9826.381
1348260,9812.929
1348270,9859.545
1348280,9883.646
1348290,9873.346
1348300,9774.098
1348310,9762.148
1348320,9860.002
1348330,9808.323
1348340,9874.364
1348350,9864.910
1348360,9821.587
1348370,10083.189
1348380,9703.255
1348390,9619.938
1348400,9554.837
1348410,9486.513
1348420,9633.175
1348430,9686.718
1348440,9673.481
1348450,9787.066
1348460,9837.049
1348470,9786.075
1348480,9704.723
1348490,9802.200
1348500,9814.414
1348510,9765.660
1348520,9854.188
1348530,9861.567
1348540,9751.269
1348550,9752.038
1348560,9858.668
1348570,9669.179
1348580,9668.176
1348590,9712.892
1348600,9875.106
1348610,9853.151
1348620,9854.545
1348630,9744.016
1348640,9681.188
1348650,9737.100
1348660,9743.883
1348670,9814.250
1348680,9788.170
1348690,9848.414
1348700,9999.387
1348710,9835.921
1348720,9769.305
1348730,9827.194
1348740,9753.593
1348750,9813.358
1348760,9852.018
1348770,9825.908
1348780,9882.830
1348790,9797.163
1348800,9824.596
1348810,9838.243
1348820,9792.102
1348830,9745.271
1348840,9817.603
1348850,9858.790
1348860,9737.777
1348870,9754.726
1348880,9815.612
1348890,9777.609
1348900,9848.695
1348910,9787.152
1348920,9774.757
1348930,9829.408
1348940,9808.304
1348950,9886.461
1348960,9836.176
1348970,9908.452
1348980,9944.568
1348990,9863.642
1349000,9915.997
1349010,9901.445
1349020,9867.552
1349030,9734.844
1349040,9763.069
1349050,9813.512
1349060,9840.400
1349070,9853.729
1349080,9899.370
1349090,9883.705
1349100,9860.748
1349110,9815.709
1349120,9797.343
1349130,9819.962
1349140,9868.922
1349150,9853.623
1349160,9773.472
1349170,9851.807
1349180,9889.561
1349190,9938.348
1349200,9838.831
1349210,9887.089
1349220,9900.811
1349230,9765.424
1349240,9830.814
1349250,9777.245
1349260,9831.355
1349270,9781.736
1349280,9860.498
1349290,9857.858
1349300,9869.541
1349310,9830.438
1349320,9818.790
1349330,9833.628
1349340,9871.529
1349350,9865.896
1349360,9773.163
1349370,9755.546
1349380,9860.577
1349390,9849.899
1349400,9788.625
1349410,9936.621
