Timestamp(ms),Current(uA)
125240,5.435
125250,3.369
125260,5.443
125270,3.888
125280,579.833
125290,1758.244
125300,3274.469
125310,2171.893
125320,1817.664
125330,2111.797
125340,2781.576
125350,2451.187
125360,2818.575
125370,4005.303
125380,4784.186
125390,4971.717
125400,4766.869
125410,5365.133
125420,6618.829
125430,7550.630
125440,8139.346
125450,8725.021
125460,9072.035
125470,9322.018
125480,9268.327
125490,9760.321
125500,9749.469
125510,9819.132
125520,9736.739
125530,9736.573
125540,9744.682
125550,9708.079
125560,10066.593
125570,9731.041
125580,10017.922
125590,10704.554
125600,9554.171
125610,9814.609
125620,10178.046
125630,9938.091
125640,9814.764
125650,9922.912
125660,9888.358
125670,10073.733
125680,9814.179
125690,9761.853
125700,9859.868
125710,9763.615
125720,9919.194
125730,9901.138
125740,9944.688
125750,10061.102
125760,10026.085
125770,10193.931
125780,10017.062
125790,9612.917
125800,9671.897
125810,9648.522
125820,9560.145
125830,9854.855
125840,10038.616
125850,9878.153
125860,9815.019
125870,10008.137
125880,9790.034
125890,9901.615
125900,9987.048
125910,10035.741
125920,9898.754
125930,9945.550
125940,10005.528
125950,9951.893
125960,9880.439
125970,9797.480
125980,9742.638
125990,9833.956
126000,9877.157
126010,9935.998
126020,9982.974
126030,10093.024
126040,10139.829
126050,9964.181
126060,9950.090
126070,10041.261
126080,10152.804
126090,10012.906
126100,9967.959
126110,10040.925
126120,9982.885
126130,9979.476
126140,10044.321
126150,10089.114
126160,9972.831
126170,9839.111
126180,10136.757
126190,9947.476
126200,9982.943
126210,9989.725
126220,9919.990
126230,10150.638
126240,9997.846
126250,10019.280
126260,10006.241
126270,10118.532
126280,10155.331
126290,9886.127
126300,9812.689
126310,9874.076
126320,9853.731
126330,9871.255
126340,10030.549
126350,9995.996
126360,9919.231
126370,9897.611
126380,10115.865
126390,10002.833
126400,10173.911
126410,10063.319
126420,10113.914
126430,10067.832
126440,9979.989
126450,9799.560
126460,9929.188
126470,10024.865
126480,10106.631
126490,10151.286
126500,9981.300
126510,10137.593
126520,10076.503
126530,9806.528
126540,9818.637
126550,9784.281
126560,9931.831
126570,9821.607
126580,10116.515
126590,10125.976
126600,10038.470
126610,9918.993
126620,9898.437
126630,10118.201
126640,10057.619
126650,9944.839
126660,9984.459
126670,9991.197
126680,9954.293
126690,9872.176
126700,9950.626
126710,9887.928
126720,10027.786
126730,9856.977
126740,9949.414
126750,9868.354
126760,10126.253
126770,9967.328
126780,10081.109
126790,10178.917
126800,10305.908
126810,10127.955
126820,10052.209
126830,10017.628
126840,10122.502
126850,9817.213
126860,9958.604
126870,10034.921
126880,10042.038
126890,10119.283
126900,9748.671
126910,9339.646
126920,9071.665
126930,9134.828
126940,9109.384
126950,9096.201
126960,9101.725
126970,9067.719
126980,8828.809
126990,8962.411
127000,9997.284
127010,7199.506
127020,2701.122
127030,995.056
127040,367.106
127050,136.024
127060,50.915
