time;T_C;W_raw_kg
2026-08-10T00:03:17Z;23.0;22.11
2026-08-10T00:07:33Z;22.5;22.09
2026-08-10T00:11:49Z;22.5;22.11
2026-08-10T00:16:06Z;22.5;22.1
2026-08-10T00:20:22Z;22.5;22.09
2026-08-10T00:24:39Z;22.5;22.1
2026-08-10T00:28:55Z;22.5;22.12
2026-08-10T00:33:12Z;22.5;22.11
2026-08-10T00:37:28Z;22.5;22.11
2026-08-10T00:41:45Z;22.5;22.11
2026-08-10T00:46:01Z;22.5;22.1
2026-08-10T00:50:18Z;22.5;22.1
2026-08-10T00:54:34Z;22.5;22.1
2026-08-10T00:58:50Z;22.5;22.1
2026-08-10T01:03:07Z;22.5;22.12
2026-08-10T01:07:23Z;22.5;22.11
2026-08-10T01:11:40Z;22.0;22.11
2026-08-10T01:15:56Z;22.5;22.1
2026-08-10T01:20:12Z;22.0;22.11
2026-08-10T01:24:29Z;22.0;22.11
2026-08-10T01:28:45Z;22.0;22.11
2026-08-10T01:33:02Z;22.0;22.12
2026-08-10T01:37:18Z;22.0;22.11
2026-08-10T01:41:35Z;22.0;22.12
2026-08-10T01:45:51Z;22.0;22.11
2026-08-10T01:50:07Z;22.0;22.12
2026-08-10T01:54:24Z;22.0;22.11
2026-08-10T01:58:40Z;22.0;22.11
2026-08-10T02:02:57Z;22.0;22.11
2026-08-10T02:07:13Z;22.0;22.11
2026-08-10T02:11:30Z;22.0;22.13
2026-08-10T02:15:46Z;22.0;22.12
2026-08-10T02:20:03Z;22.0;22.11
2026-08-10T02:24:19Z;21.5;22.12
2026-08-10T02:28:35Z;21.5;22.11
2026-08-10T02:32:52Z;21.5;22.13
2026-08-10T02:37:08Z;21.5;22.13
2026-08-10T02:41:25Z;21.5;22.13
2026-08-10T02:45:41Z;21.5;22.11
2026-08-10T02:49:58Z;21.0;22.13
2026-08-10T02:54:14Z;21.5;22.12
2026-08-10T02:58:30Z;21.0;22.12
2026-08-10T03:02:47Z;21.0;22.13
2026-08-10T03:07:03Z;21.0;22.13
2026-08-10T03:11:20Z;21.0;22.12
2026-08-10T03:15:36Z;21.0;22.12
2026-08-10T03:19:53Z;21.0;22.13
2026-08-10T03:24:09Z;21.0;22.12
2026-08-10T03:28:26Z;21.0;22.12
2026-08-10T03:32:42Z;21.0;22.13
2026-08-10T03:36:58Z;21.0;22.13
2026-08-10T03:41:15Z;21.0;22.14
2026-08-10T03:45:31Z;21.0;22.13
