time;T_C;W_raw_kg;T_eff_C;W_corr_kg;residual_g
2026-08-10T00:03:17Z;23.0;22.11;23.0;22.0745;18.9
2026-08-10T00:07:33Z;22.5;22.09;22.922;22.0531;-2.5
2026-08-10T00:11:49Z;22.5;22.11;22.855;22.072;16.4
2026-08-10T00:16:06Z;22.5;22.1;22.8;22.061;5.4
2026-08-10T00:20:22Z;22.5;22.09;22.753;22.0501;-5.5
2026-08-10T00:24:39Z;22.5;22.1;22.713;22.0594;3.8
2026-08-10T00:28:55Z;22.5;22.12;22.68;22.0788;23.2
2026-08-10T00:33:12Z;22.5;22.11;22.651;22.0683;12.7
2026-08-10T00:37:28Z;22.5;22.11;22.628;22.0679;12.3
2026-08-10T00:41:45Z;22.5;22.11;22.608;22.0676;12.0
2026-08-10T00:46:01Z;22.5;22.1;22.591;22.0573;1.7
2026-08-10T00:50:18Z;22.5;22.1;22.576;22.057;1.4
2026-08-10T00:54:34Z;22.5;22.1;22.564;22.0568;1.2
2026-08-10T00:58:50Z;22.5;22.1;22.554;22.0566;1.0
2026-08-10T01:03:07Z;22.5;22.12;22.546;22.0765;20.9
2026-08-10T01:07:23Z;22.5;22.11;22.539;22.0664;10.7
2026-08-10T01:11:40Z;22.0;22.11;22.454;22.0649;9.2
2026-08-10T01:15:56Z;22.5;22.1;22.461;22.055;-0.6
2026-08-10T01:20:12Z;22.0;22.11;22.389;22.0637;8.1
2026-08-10T01:24:29Z;22.0;22.11;22.328;22.0626;7.0
2026-08-10T01:28:45Z;22.0;22.11;22.276;22.0617;6.1
2026-08-10T01:33:02Z;22.0;22.12;22.233;22.0709;15.3
2026-08-10T01:37:18Z;22.0;22.11;22.197;22.0603;4.7
2026-08-10T01:41:35Z;22.0;22.12;22.166;22.0697;14.1
2026-08-10T01:45:51Z;22.0;22.11;22.14;22.0593;3.7
2026-08-10T01:50:07Z;22.0;22.12;22.118;22.0689;13.3
2026-08-10T01:54:24Z;22.0;22.11;22.099;22.0586;3.0
2026-08-10T01:58:40Z;22.0;22.11;22.084;22.0583;2.7
2026-08-10T02:02:57Z;22.0;22.11;22.071;22.058;2.4
2026-08-10T02:07:13Z;22.0;22.11;22.06;22.0579;2.2
2026-08-10T02:11:30Z;22.0;22.13;22.05;22.0777;22.1
2026-08-10T02:15:46Z;22.0;22.12;22.042;22.0675;11.9
2026-08-10T02:20:03Z;22.0;22.11;22.036;22.0574;1.8
2026-08-10T02:24:19Z;21.5;22.12;21.952;22.0659;10.3
2026-08-10T02:28:35Z;21.5;22.11;21.881;22.0547;-0.9
2026-08-10T02:32:52Z;21.5;22.13;21.821;22.0736;18.0
2026-08-10T02:37:08Z;21.5;22.13;21.771;22.0727;17.1
2026-08-10T02:41:25Z;21.5;22.13;21.728;22.072;16.4
2026-08-10T02:45:41Z;21.5;22.11;21.692;22.0513;-4.3
2026-08-10T02:49:58Z;21.0;22.13;21.584;22.0694;13.8
2026-08-10T02:54:14Z;21.5;22.12;21.571;22.0592;3.6
2026-08-10T02:58:30Z;21.0;22.12;21.481;22.0576;2.0
2026-08-10T03:02:47Z;21.0;22.13;21.406;22.0663;10.7
2026-08-10T03:07:03Z;21.0;22.13;21.342;22.0651;9.5
2026-08-10T03:11:20Z;21.0;22.12;21.288;22.0542;-1.4
2026-08-10T03:15:36Z;21.0;22.12;21.243;22.0534;-2.2
2026-08-10T03:19:53Z;21.0;22.13;21.205;22.0627;7.1
2026-08-10T03:24:09Z;21.0;22.12;21.173;22.0521;-3.5
2026-08-10T03:28:26Z;21.0;22.12;21.146;22.0516;-4.0
2026-08-10T03:32:42Z;21.0;22.13;21.123;22.0612;5.6
2026-08-10T03:36:58Z;21.0;22.13;21.104;22.0609;5.3
2026-08-10T03:41:15Z;21.0;22.14;21.087;22.0706;15.0
2026-08-10T03:45:31Z;21.0;22.13;21.074;22.0604;4.8
2026-08-10T03:49:48Z;21.0;22.14;21.062;22.0702;14.6
2026-08-10T03:54:04Z;21.0;22.14;21.052;22.07;14.4
2026-08-10T03:58:21Z;21.0;22.12;21.044;22.0498;-5.8
2026-08-10T04:02:37Z;21.0;22.14;21.037;22.0697;14.1
2026-08-10T04:06:53Z;21.0;22.13;21.031;22.0596;4.0
2026-08-10T04:11:10Z;21.0;22.14;21.026;22.0695;13.9
2026-08-10T04:15:26Z;21.0;22.15;21.022;22.0795;23.9
2026-08-10T04:19:43Z;21.0;22.13;21.019;22.0594;3.8
2026-08-10T04:23:59Z;21.0;22.15;21.016;22.0793;23.7
2026-08-10T04:28:16Z;21.0;22.13;21.013;22.0593;3.7
2026-08-10T04:32:32Z;20.5;22.15;20.933;22.0779;22.3
2026-08-10T04:36:49Z;21.0;22.14;20.943;22.0681;12.5
2026-08-10T04:41:05Z;21.0;22.15;20.952;22.0782;22.6
2026-08-10T04:45:21Z;21.0;22.13;20.96;22.0583;2.7
2026-08-10T04:49:38Z;21.0;22.13;20.966;22.0585;2.9
2026-08-10T04:53:54Z;20.5;22.14;20.893;22.0672;11.6
2026-08-10T04:58:11Z;20.5;22.14;20.831;22.0661;10.5
2026-08-10T05:02:27Z;21.0;22.13;20.858;22.0565;0.9
2026-08-10T05:06:44Z;21.0;22.13;20.88;22.0569;1.3
2026-08-10T05:11:00Z;20.5;22.13;20.82;22.0559;0.3
2026-08-10T05:15:16Z;21.0;22.13;20.849;22.0564;0.8
2026-08-10T05:19:33Z;21.0;22.14;20.872;22.0668;11.2
2026-08-10T05:23:49Z;21.0;22.15;20.892;22.0772;21.5
2026-08-10T05:28:06Z;21.0;22.15;20.909;22.0775;21.8
2026-08-10T05:32:22Z;21.0;22.15;20.924;22.0777;22.1
2026-08-10T05:36:39Z;21.0;22.15;20.936;22.0779;22.3
2026-08-10T05:40:55Z;21.5;22.14;21.024;22.0695;13.9
2026-08-10T05:45:12Z;21.5;22.13;21.099;22.0608;5.2
2026-08-10T05:49:28Z;21.5;22.13;21.162;22.0619;6.3
2026-08-10T05:53:44Z;21.5;22.13;21.215;22.0629;7.3
2026-08-10T05:58:01Z;21.0;22.15;21.181;22.0823;26.7
2026-08-10T06:02:17Z;21.0;22.13;21.153;22.0618;6.2
2026-08-10T06:06:34Z;21.5;22.14;21.207;22.0727;17.1
2026-08-10T06:10:50Z;21.5;22.13;21.253;22.0636;7.9
2026-08-10T06:15:07Z;21.5;22.14;21.292;22.0742;18.6
2026-08-10T06:19:23Z;22.0;22.14;21.403;22.0762;20.6
2026-08-10T06:23:39Z;21.5;22.14;21.418;22.0765;20.9
2026-08-10T06:27:56Z;21.5;22.14;21.431;22.0767;21.1
2026-08-10T06:32:12Z;21.5;22.12;21.442;22.0569;1.3
2026-08-10T06:36:29Z;21.5;22.12;21.451;22.0571;1.5
2026-08-10T06:40:45Z;21.5;22.14;21.459;22.0772;21.6
2026-08-10T06:45:02Z;22.0;22.12;21.544;22.0587;3.1
2026-08-10T06:49:18Z;23.0;22.14;21.772;22.0828;27.2
2026-08-10T06:53:34Z;23.0;22.12;21.965;22.0662;10.6
2026-08-10T06:57:51Z;22.5;22.13;22.049;22.0777;22.1
2026-08-10T07:06:25Z;22.5;22.11;22.12;22.0589;3.3
2026-08-10T07:10:41Z;22.5;22.13;22.179;22.08;24.4
2026-08-10T07:14:58Z;22.5;22.12;22.23;22.0709;15.3
2026-08-10T07:19:14Z;22.5;22.12;22.272;22.0716;16.0
2026-08-10T07:23:31Z;22.5;22.11;22.308;22.0623;6.7
2026-08-10T07:27:47Z;22.5;22.13;22.338;22.0828;27.2
2026-08-10T07:32:03Z;22.5;22.13;22.363;22.0832;27.6
2026-08-10T07:36:20Z;22.5;22.11;22.385;22.0636;8.0
2026-08-10T07:40:36Z;23.0;22.11;22.481;22.0653;9.7
2026-08-10T07:44:53Z;22.5;22.1;22.484;22.0554;-0.2
2026-08-10T07:49:09Z;23.0;22.12;22.565;22.0768;21.2
2026-08-10T07:53:26Z;23.0;22.1;22.633;22.058;2.4
2026-08-10T07:57:42Z;23.0;22.1;22.691;22.0591;3.4
2026-08-10T08:01:58Z;23.5;22.11;22.818;22.0713;15.7
2026-08-10T08:06:15Z;23.5;22.1;22.925;22.0632;7.6
2026-08-10T08:10:31Z;23.5;22.11;23.015;22.0748;19.2
